ID,Name,Score1,Score2,Empty_Column,Almost_Empty,Constant_Value,Mixed_Types,Some_Nulls
1,Person_1,47.239322657838045,52.39461661987854,,,Same,1,121.21956585179632
2,Person_2,48.945185833102165,56.744385540347345,,,Same,2,134.94588039639265
3,Person_3,57.810250169288715,53.29009242421957,,,Same,three,118.68599183586518
4,Person_4,49.27286048746176,72.83543616566399,,,Same,4.0,
5,Person_5,54.85062686545583,60.59151235870019,,,Same,five,106.99646521694225
6,Person_6,45.03454233018958,34.01149105197187,,,Same,1,
7,Person_7,32.06770385619886,47.28830810704902,,,Same,2,
8,Person_8,59.92179714433337,77.24961666468444,,,Same,three,106.85090630013318
9,Person_9,66.76294669001689,90.37853596031786,,,Same,4.0,88.77160991927884
10,Person_10,55.77419024735796,51.42538377318505,,,Same,five,126.82657890007542
11,Person_11,38.01646660180857,74.45635077786295,,,Same,1,
12,Person_12,49.58896983787355,56.46644962689929,,,Same,2,126.68301833359678
13,Person_13,52.14618932466289,68.97795362402212,,,Same,three,
14,Person_14,65.51635918806339,73.60410549324936,,,Same,4.0,120.03347058866804
15,Person_15,57.47858076446064,25.79690532607936,,,Same,five,105.92670383666008
16,Person_16,56.29790165428496,50.36724965855129,,,Same,1,126.82107616850172
17,Person_17,61.977329288788816,56.1278177926068,,,Same,2,90.71997268271316
18,Person_18,54.51806050078938,53.10916765680721,,,Same,three,94.52262214666837
19,Person_19,57.64970827048222,63.6296606910777,,,Same,4.0,90.17794665044678
20,Person_20,50.55938383083542,72.7868233857627,,,Same,five,129.35436888992177
21,Person_21,44.863767163488966,56.505095954605046,,,Same,1,
22,Person_22,59.56719426821998,64.32558061533702,,,Same,2,79.26764573743273
23,Person_23,59.87813905259591,48.75525202078613,,,Same,three,113.32571141833849
24,Person_24,35.84084997806674,36.239055950904955,,,Same,4.0,72.09902394577254
25,Person_25,48.057899300437555,59.24602923585071,,,Same,five,90.2817567705968
26,Person_26,45.49802499240288,72.89564153137964,,,Same,1,99.3013344941903
27,Person_27,63.993212550200134,82.76983453758066,,,Same,2,
28,Person_28,64.85529266643744,61.091045455628596,,,Same,three,115.52972308736145
29,Person_29,53.20364706500599,56.92117627252523,,,Same,4.0,118.08335450424862
30,Person_30,74.93680368866644,46.59119340367509,,,Same,five,123.30080594371239
31,Person_31,38.540616906276654,44.404600024804054,,,Same,1,82.11471379043734
32,Person_32,54.955996203815644,42.80543347554484,,,Same,2,
33,Person_33,51.980286472739095,63.51514822670742,,,Same,three,
34,Person_34,41.774305130917945,43.03180759861314,,,Same,4.0,120.36930801677303
35,Person_35,35.003959106960906,57.93045955850492,,,Same,five,112.38328573792356
36,Person_36,54.39697316831765,67.22802799730283,,,Same,1,98.2804074033966
37,Person_37,38.035874373786456,48.316908817281345,,,Same,2,
38,Person_38,55.556792423451704,69.65258191955735,,,Same,three,
39,Person_39,45.47757598446527,88.55383337112053,,,Same,4.0,123.50712656830913
40,Person_40,52.79922173288638,73.84803925382862,,,Same,five,105.90676491128451
41,Person_41,43.10127024504569,70.9138004241401,,,Same,1,82.09048618767375
42,Person_42,47.861289967962065,77.23403958903918,,,Same,2,101.30716972052056
43,Person_43,39.939380859956984,50.732707418100816,,,Same,three,99.98562182019691
44,Person_44,49.298449081574894,35.113232841317355,,,Same,4.0,112.27251111035622
45,Person_45,70.90454395099943,75.30730357647626,,,Same,five,108.27367492326225
46,Person_46,43.32762094309676,34.49501107986272,,,Same,1,
47,Person_47,44.31097529899185,58.375124659067275,,,Same,2,74.98138016943983
48,Person_48,73.34024653875835,54.76249225042104,,,Same,three,80.63243957691907
49,Person_49,45.73209845752298,37.474244360063366,,,Same,4.0,
50,Person_50,66.80879890162062,67.74088823030557,,,Same,five,81.9447302351267
51,Person_51,57.18862656023629,61.270093856971805,,,Same,1,88.16152165520116
52,Person_52,47.05188338315343,68.21927867486603,,,Same,2,94.86629662972037
53,Person_53,45.13088086433142,69.8779314991418,,,Same,three,103.14267478831195
54,Person_54,49.710448965524414,31.113906392058784,,,Same,4.0,73.6825201267984
55,Person_55,42.23082394997422,67.44110643044927,,,Same,five,
56,Person_56,50.325002599921255,56.832431418592755,,,Same,1,
57,Person_57,47.50070798774206,45.34147245053563,,,Same,2,117.40792766721667
58,Person_58,55.993490590733884,65.41355336536988,,,Same,three,73.7220173958809
59,Person_59,43.94445781620776,34.125298936717904,,,Same,4.0,105.82030725928443
60,Person_60,40.12716153769982,64.473753978919,,,Same,five,116.03071711818379
61,Person_61,48.599220399668766,34.246539344726244,,,Same,1,72.84004333788815
62,Person_62,54.664248701259574,44.60809210484778,,,Same,2,
63,Person_63,46.66829499208147,57.26667252809385,,,Same,three,110.72934269327595
64,Person_64,40.79262554198439,44.257716339408546,,,Same,4.0,
65,Person_65,51.18405545371789,75.20599772895385,,,Same,five,111.00454006145993
66,Person_66,46.86777323672304,47.75988048248268,,,Same,1,92.09795261784309
67,Person_67,37.057745515236,64.32518761485423,,,Same,2,111.6684309728515
68,Person_68,41.220986661147585,58.54746908669764,,,Same,three,114.07834394667616
69,Person_69,43.65768058028939,60.515047278958846,,,Same,4.0,86.93500118469821
70,Person_70,41.15201080538066,65.75661489087469,,,Same,five,
71,Person_71,50.327644131221916,74.85446155176757,,,Same,1,84.22827254220223
72,Person_72,31.611963403244733,82.74565248680906,,,Same,2,128.11928457443668
73,Person_73,60.39392439899396,66.95390389975339,,,Same,three,
74,Person_74,61.166119734061255,62.839562058687854,,,Same,4.0,85.85868588843621
75,Person_75,69.6017392929782,61.37678762343643,,,Same,five,92.32573906836983
76,Person_76,31.244207437804636,23.89540202832876,,,Same,1,113.19773298317897
77,Person_77,58.03384050646466,55.34425945716286,,,Same,2,86.77020027069966
78,Person_78,59.79847021583445,49.966004329783395,,,Same,three,77.41929286435358
79,Person_79,50.86032831760104,45.321697342508095,,,Same,4.0,60.6692297700167
80,Person_80,48.876910154400115,80.25002254958213,,,Same,five,115.29230162831611
81,Person_81,59.66862025513128,42.477144853968966,,,Same,1,140.65511306068288
82,Person_82,55.53416780081954,72.01322280745424,,,Same,2,
83,Person_83,51.01278873112543,56.36681213840316,,,Same,three,
84,Person_84,43.74920277928008,56.06772177192565,,,Same,4.0,81.12124590056297
85,Person_85,59.78011503945078,68.79504795048027,,,Same,five,103.98211904468054
86,Person_86,48.03302045021277,49.70650981981355,,,Same,1,115.79395702048816
87,Person_87,33.26968576388215,43.10097860339198,,,Same,2,
88,Person_88,67.25987909665118,79.72679639913613,,,Same,three,101.72700768836538
89,Person_89,54.45107287514689,78.0672065502983,,,Same,4.0,115.85207778631077
90,Person_90,55.8131501699919,64.50510260239876,,,Same,five,98.42100488633673
91,Person_91,60.43459844218367,75.0569175934322,,,Same,1,
92,Person_92,35.88038278499095,58.90139536612814,,,Same,2,124.6787072221247
93,Person_93,49.41085578492281,66.21477809102379,,,Same,three,83.47784554194212
94,Person_94,55.442917815950324,57.72893659144805,,,Same,4.0,98.57864029724028
95,Person_95,56.93390793575525,49.6121268522206,,,Same,five,79.79421083330422
96,Person_96,38.38156274304187,50.34704850316619,,1.0,Same,1,93.96624602479986
97,Person_97,45.11762629900586,58.95639319377032,,2.0,Same,2,84.86109207868789
98,Person_98,54.12449226574271,73.31099934932041,,3.0,Same,three,101.11990737459067
99,Person_99,58.62287584296007,49.84663072348551,,4.0,Same,4.0,66.54690958237903
100,Person_100,57.36115154345946,66.65639890274038,,5.0,Same,five,99.30945082331853
